minute,closing_price,volume,vwap,short_ema,long_ema,macd,macd_signal,rsi
380,296.12,667227,295.315,295.6331,295.4081,0.2298,0.1843,79.5481
381,296.11,731572,295.3227,295.6488,295.4188,0.2298,0.1843,79.5481
382,296.05,333329,295.326,295.6619,295.4285,0.2298,0.1843,79.5481
383,296.095,358585,295.3294,295.6761,295.4387,0.2298,0.1843,79.5481
384,296.175,479775,295.3344,295.6925,295.4499,0.2298,0.1843,79.5481
385,296.19,601682,295.3402,295.7088,295.4612,0.2535,0.1981,80.6257
386,296.225,893336,295.3505,295.7257,295.4729,0.2535,0.1981,80.6257
387,296.25,576296,295.357,295.7429,295.4847,0.2535,0.1981,80.6257
388,296.27,1130705,295.366,295.7601,295.4967,0.2535,0.1981,80.6257
389,296.235,1028445,295.3799,295.7757,295.5079,0.2535,0.1981,80.6257
390,295.84,3253346,295.403,295.7778,295.513,0.2777,0.2142,82.3795
